;Voc;Jsc;FF;PCE;Mean
scaled_λ_A_absorption;0.19911342830093026;0.5324864133009358;0.2559740341208041;0.3818467318763018;0.34235515189974297
scaled_HOMO_D;0.14312185026070684;0.10029377756865804;0.14474568367625343;0.165116821734675;0.13831953331007332
scaled_LUMO_A;0.15931268509832214;0.06004764298923225;0.08365074626770139;0.05507407745976614;0.08952128795375547
scaled_HOMO_A;0.09326812824083705;0.06148114234578699;0.1092715698417706;0.07327123871552595;0.08432301978598014
scaled_EgA_opt;0.06171812209487262;0.061601217491554984;0.07791421146363812;0.09273455429072669;0.07349202633519811
scaled_λ_D_absorption;0.08883607920613265;0.040662302969347336;0.07440284728733854;0.05906808289276643;0.06574232808889624
scaled_EgCV_A;0.07247705708467608;0.05056217681318015;0.06718862863828642;0.05276995602255049;0.06074945463967329
scaled_LUMO_D;0.062013784020655445;0.037465227191645044;0.0619049010565212;0.04566529254021282;0.05176230120225863
scaled_EgCV_D;0.04994833130045414;0.031056691550406367;0.08012490064084968;0.03928416279205124;0.050103521570940356
scaled_EgD_opt;0.07019053439241277;0.024343407779253128;0.044822477006836545;0.03516908167542337;0.043631375213481455
