scaled_Voc;scaled_Jsc;scaled_FF;scaled_PCE;Target_CI;CS_ANN
0.3570033046098091;-2.359969523057344;-3.4147805893661203;-2.2501622258352536;0.2855249023036297;-0.61545485
0.3570033046098091;-2.273677162395052;-3.3790519754723696;-2.210534150651656;0.2855249023036297;-0.61545485
0.1324760623987794;-2.378223676274367;-0.2049991682086013;-1.883081108345084;0.5385485687636009;-0.66250485
0.6937941679263524;-1.4256887720406002;-0.4666871240249935;-1.1572616260349742;0.5385485687636009;-0.66250485
0.8060577890318673;-0.760241913856383;-1.4110812966760329;-0.9570355619494268;0.5385485687636009;-0.66250485
0.8060577890318673;-0.8150043735074531;-0.9466093160572706;-0.8381513363986328;0.5385485687636009;-0.66250485
0.8060577890318673;-0.585997724057523;-0.7853477344287189;-0.6149827024699497;0.5385485687636009;-0.66250485
-0.31657842202328;0.4345753876215128;0.1397336739554276;0.2109498118829333;0.6974771870656926;-0.84543395
-0.6533692853398245;0.6702199109685419;0.6901474555618616;0.546745606859737;0.7087488889089624;-0.7564544
-0.6533692853398245;0.3001584412052497;0.3087203612907362;0.0878942099970239;0.6903651386219223;-0.7545673
-0.6309165611187215;0.5324840276037293;0.364727377664724;0.2860345859150138;0.725719736727477;-0.7169884
-0.4512947673498978;0.537462433026554;0.6273809716944607;0.4862606500005611;0.725719736727477;-0.7169884
0.5815305468208388;-0.3752452278246164;0.2662322799035731;-0.1331887357641014;0.679569292525282;-0.70367897
-0.5747847505659641;0.9224591190583206;0.6505562888147325;0.7302861656048221;0.7453260375424658;-0.6175136
-0.3951629567971403;0.9556484885438176;0.7934707443897367;0.8908841545067715;0.7358631920203204;-0.58457494
-0.3390311462443829;1.0452597861546595;0.824371167216764;1.0014256273873343;0.7358631920203204;-0.58457494
-0.294125697802177;1.090065434960081;1.0445366798593376;1.164109304456842;0.7358631920203204;-0.58457494
0.379456028830912;0.9390538038010688;1.1575163508206583;1.3518212395370424;0.776897375687776;-0.68776894
0.4580405636047724;0.8726750648300747;0.8002302118831485;1.1411667346137055;0.776897375687776;-0.68776894
-0.1145039040333532;1.109979056651379;0.8494777607637246;1.1745377452946302;0.7346920027941418;-0.5203485
0.379456028830912;0.9954757319264138;1.023292639165756;1.3351357341965795;0.7825243886003369;-0.5505336
0.5366250983786328;0.8892697495728229;1.080265293753089;1.3184502288561175;0.7903020415318973;-0.57155746
0.6937941679263524;0.6403494784315946;1.0416397652193037;1.1307382937759174;0.7864785444886583;-0.5338108
