scaled_HOMO_A;scaled_LUMO_A;scaled_EgCV_A;scaled_λ_A_absorption;scaled_EgA_opt;scaled_HOMO_D;scaled_LUMO_D;scaled_EgCV_D;scaled_λ_D_absorption;scaled_EgD_opt;scaled_delta_LUMO;scaled_delta_HOMO;scaled_HOMO_D_LUMO_A;scaled_delta_Eg;scaled_delta_lambda
0.5766660578444257;1.2384229411188168;-0.6057467829513367;-0.7905523224785299;0.6668896758404848;0.12949240641851736;-0.24769690816289047;0.3477976319523703;-1.3231446463676895;1.3864777302638556;0.884899070136812;0.4067711476187518;-0.9230333661359589;-0.6801911835365418;-0.058569097352837704
0.5766660578444257;1.2384229411188168;-0.6057467829513367;-0.7905523224785299;0.6668896758404848;0.12949240641851736;-0.24769690816289047;0.3477976319523703;-1.3231446463676895;1.3864777302638556;0.884899070136812;0.4067711476187518;-0.9230333661359589;-0.6801911835365418;-0.058569097352837704
0.5766660578444257;1.2384229411188168;-0.6057467829513367;-0.7905523224785299;0.6668896758404848;0.054372502142580735;-0.1330224136430337;0.19044574101521178;-1.079445212452063;1.1062344399724637;0.7755308225198513;0.47533541961142234;-0.9804744958393884;-0.5374652157680827;-0.17432687141568803
0.5766660578444257;1.2384229411188168;-0.6057467829513367;-0.7905523224785299;0.6668896758404848;0.054372502142580735;-0.1330224136430337;0.19044574101521178;-1.079445212452063;1.1062344399724637;0.7755308225198513;0.47533541961142234;-0.9804744958393884;-0.5374652157680827;-0.17432687141568803
0.5766660578444257;1.2384229411188168;-0.6057467829513367;-0.7905523224785299;0.6668896758404848;0.054372502142580735;-0.1330224136430337;0.19044574101521178;-1.079445212452063;1.1062344399724637;0.7755308225198513;0.47533541961142234;-0.9804744958393884;-0.5374652157680827;-0.17432687141568803
0.5766660578444257;1.2384229411188168;-0.6057467829513367;-0.7905523224785299;0.6668896758404848;0.054372502142580735;-0.1330224136430337;0.19044574101521178;-1.079445212452063;1.1062344399724637;0.7755308225198513;0.47533541961142234;-0.9804744958393884;-0.5374652157680827;-0.17432687141568803
0.5766660578444257;1.2384229411188168;-0.6057467829513367;-0.7905523224785299;0.6668896758404848;0.054372502142580735;-0.1330224136430337;0.19044574101521178;-1.079445212452063;1.1062344399724637;0.7755308225198513;0.47533541961142234;-0.9804744958393884;-0.5374652157680827;-0.17432687141568803
0.6519831688076018;1.0296180454298909;-0.3687007097422292;0.9409609988077158;-0.8804129763185087;1.33141087483353;0.669699047995969;0.03309385007805322;-0.9575954954942498;1.012820009875333;-0.0994151584158405;-0.6216929322713299;0.16834809822922822;-0.25201328023116426;1.2726453043699413
0.9532516126603128;0.19439846267419367;0.5794835830941995;0.990242531798171;-0.8804129763185087;0.3548521192463339;1.0137225315555427;-0.8323415500763179;0.5046011079995085;-0.5752253017758857;-0.8649928917345716;0.5438996916040928;0.11090696852579866;1.1038834135691966;0.6209290363960943
0.6519831688076018;-0.1536096968073453;0.6387451013964763;1.0035618650388345;-0.8804129763185087;0.3548521192463339;1.0137225315555427;-0.8323415500763179;0.5046011079995085;-0.5752253017758857;-1.0472733044295066;0.26964260363340475;0.39811261704295153;1.1395649055113113;0.6325048138023793
0.27539761399171475;0.8208131497409651;-0.48722374634678295;0.6745743339944472;-0.6694171601150094;0.3548521192463339;0.13455140690330167;0.07243182281234285;0.5046011079995085;-0.5752253017758857;0.3016017495130158;-0.07317875632995381;-0.4060631988050776;-0.35905775605750867;0.3465831118671385
0.27539761399171475;0.8208131497409651;-0.48722374634678295;0.6745743339944472;-0.6694171601150094;0.3548521192463339;0.13455140690330167;0.07243182281234285;0.5046011079995085;-0.5752253017758857;0.3016017495130158;-0.07317875632995381;-0.4060631988050776;-0.35905775605750867;0.3465831118671385
1.8570569442184457;0.33360172646680986;1.1720987661169668;-0.5641236573872516;0.4558938596369854;0.7304516406260237;-2.541186798560042;3.0227797778840637;-1.2744047595845642;1.3864777302638556;2.598334949469206;1.0238495955527984;0.2832303576360899;-2.036087877336904;0.11506756374143781
0.42603183591806687;-0.014406433014729096;0.342437509885092;0.4348263356625055;-0.4584213439115116;0.7304516406260237;-2.541186798560042;3.0227797778840637;-1.2744047595845642;1.3864777302638556;2.416054536774271;-0.2788715723079714;0.5704360061532427;-2.5356287645265105;0.9832508692128153
0.27539761399171475;1.168821309222504;-0.7835313378581673;0.6745743339944472;-0.6694171601150094;0.7304516406260237;-2.541186798560042;3.0227797778840637;-1.2744047595845642;1.3864777302638556;3.03580793993705;-0.41600011629331235;-0.4060631988050776;-3.213577111426691;1.191614862525946
0.27539761399171475;1.168821309222504;-0.7835313378581673;0.6745743339944472;-0.6694171601150094;0.7304516406260237;-2.541186798560042;3.0227797778840637;-1.2744047595845642;1.3864777302638556;3.03580793993705;-0.41600011629331235;-0.4060631988050776;-3.213577111426691;1.191614862525946
