;Target_CI
0;0.2855249023036297
1;0.2855249023036297
2;0.5385485687636009
3;0.5385485687636009
4;0.5385485687636009
5;0.5385485687636009
6;0.5385485687636009
7;0.6974771870656926
8;0.7087488889089624
9;0.6903651386219223
10;0.725719736727477
11;0.725719736727477
12;0.679569292525282
13;0.7453260375424658
14;0.7358631920203204
15;0.7358631920203204
16;0.7358631920203204
17;0.776897375687776
18;0.776897375687776
19;0.7346920027941418
20;0.7825243886003369
21;0.7903020415318973
22;0.7864785444886583
23;0.6708393422146115
24;0.7536827084691459
25;0.7832220634171188
26;0.7642824539336092
27;0.7642824539336092
28;0.7719930076372283
29;0.7719930076372283
30;0.6777953878310061
31;0.7582530201628976
32;0.7723635589681266
33;0.7677690437432588
34;0.7561696083997362
35;0.7561696083997362
36;0.7441507800486387
37;0.7441507800486387
38;0.7719930076372283
39;0.7719930076372283
40;0.6604677839495107
41;0.6621727185811792
42;0.7539123416779236
43;0.5787807010185999
44;0.7409252583169639
45;0.768403687444898
46;0.4810996389676158
47;0.7747536016866625
48;0.7747536016866625
49;0.7747536016866625
50;0.7185454132528986
51;0.7185454132528986
52;0.7763261764961625
53;0.7268495789382775
54;0.7804570805063076
55;0.78499779385662
56;0.7872384482386748
57;0.7753437030027421
58;0.7391578859139628
59;0.7071228335048844
60;0.7754982035133073
61;0.7754982035133073
62;0.6421909064345538
63;0.7481370874515106
64;0.7868528448564319
65;0.7368011889986938
66;0.7887305878342838
67;0.541848830750522
68;0.7788812628423796
69;0.29037799444798457
70;0.29037799444798457
71;0.7287631580976037
72;0.7347487934628225
73;0.7841046028966416
74;0.7841046028966416
75;0.7728349755619375
76;0.7579690734977471
77;0.7655190506488173
78;0.7420878116138228
79;0.6727312880889106
80;0.7597115046872409
81;0.7597115046872409
82;0.7597115046872409
83;0.7597115046872409
84;0.7597115046872409
85;0.7597115046872409
86;0.7597115046872409
87;0.7844322989738414
88;0.7844322989738414
89;0.7395705519916512
90;0.7758793415302274
91;0.7758793415302274
92;0.7758793415302274
93;0.7709360406414931
94;0.7360458390581149
95;0.7278506808747962
96;0.7278506808747962
97;0.7551768033248436
98;0.7551768033248436
99;0.7360458390581149
100;0.7360458390581149
101;0.7360458390581149
102;0.7360458390581149
103;0.7804842046185135
104;0.7783921660265
105;0.7792093839632385
106;0.7817364906204904
107;0.7844322989738414
108;0.775840396163762
109;0.7397246562562739
110;0.7360165550723411
111;0.7360165550723411
112;0.7410985483608177
113;0.7410985483608177
114;0.7367672561173072
115;0.7091530545026918
116;0.789239144551339
117;0.7812385828966494
118;0.778631626893918
119;0.7546143203346952
120;0.7702162768452213
121;0.7834332686646622
122;0.776897375687776
123;0.7683054212964898
124;0.7722780906824482
125;0.7722780906824482
126;0.747948685078383
127;0.747948685078383
128;0.7351693495215222
129;0.7505761789822979
130;0.7964182238040391
131;0.7823559813897595
132;0.7823559813897595
133;0.7823559813897595
134;0.7723090739054982
135;0.7723090739054982
136;0.7723090739054982
137;0.7712880846397259
138;0.7755552203020113
139;0.7514435833229784
140;0.7652931698457661
141;0.7673369145471434
142;0.7964182238040391
143;0.7964182238040391
144;0.7964182238040391
145;0.7964182238040391
146;0.7964182238040391
147;0.7964182238040391
148;0.7804237293804375
149;0.7804237293804375
150;0.7804237293804375
151;0.7508896038698597
152;0.7464695188179233
153;0.7464695188179233
154;0.7351404691158517
155;0.5635380832544664
156;0.5534242743819758
157;0.5337593695545718
158;0.5543288246192374
159;0.5497156773246025
